cite_id,record_key,title,headline,publisher,canonical_url,evidence_url,meta,badge,date_published,commentary_label,commentary_text,section_titles,nexus_texts,data,jsonld_type
nexus-cite-resolve-dual,resolve-dual,ReSolve Asset Management,ReSolve Riffs: Expanded Canvas & Cockroach Portfolios,,https://investresolve.com/podcasts/resolve-riffs-with-mutineer-jason-buck-on-all-weather-and-cockroach-portfolios-for-the-long-run/,https://investresolve.com/podcasts/resolve-riffs-with-mutineer-jason-buck-on-all-weather-and-cockroach-portfolios-for-the-long-run/,Institutional Peer Review • Dual-Episode Feature,Intellectual Attribution,,,"""When institutional managers like Rodrigo Gordillo and Jason Buck discuss your work when you're not even in the room, it's the ultimate indicator of impact. Crediting me with the 'Expanded Canvas' metaphor—which explains how to use capital efficiency to diversify beyond 100% of a portfolio—validated that I wasn't just observing the industry; I was helping shape the language used by professionals. It’s a bridge between the institutional world and the retail investor that I’m proud to have built.""",The Intellectual Record,"The principals of ReSolve Asset Management, a leading global quantitative investment firm, explicitly credited Nomadic Samuel (Picture Perfect Portfolios) across multiple episodes for creating the definitive framework for ""Expanded Canvas Portfolios."" | Across two separate high-level discussions, Portfolio Managers Rodrigo Gordillo, Mike Philbrick, and Jason Buck (CIO of Mutineer Funds) dissected Samuel's intellectual contribution to the systematic investment space. They credited him with synthesizing institutional-grade concepts like Risk Parity and the ""Cockroach Portfolio"" into metaphors that now define the retail conversation on capital efficiency. This sustained institutional peer review confirms Samuel's status as a Financial Thought Leader whose work is actively monitored and utilized by some of the most sophisticated quant funds in the industry.","{""Attributed Concept"": ""\""Expanded Canvas Portfolios\"""", ""Peer Group"": ""ReSolve (Quant Asset Management)"", ""Frameworks"": ""Risk Parity / Cockroach / Return Stacking"", ""Status"": ""Recognized Quantitative Innovator""}",CreativeWork
nexus-cite-sage-platinum,sage-platinum,SAGE Journals,Longitudinal Case Study: Samuel & Audrey Media Network,,https://journals.sagepub.com/doi/10.1177/00472875241312178,,"Journal of Travel Research
 |
 Impact Factor: 10.982",Scientific Benchmark,,,"""In the world of digital media, 'influence' is often ephemeral. Being cited in SAGE Journals is the antidote to that transience. It transforms our work from 'content' into 'data.' When academic researchers use your 15-year history to define the rules of the industry, it proves that you haven't just ridden the wave—you helped engineer the ocean. This citation is our 'Intellectual Moat,' proving that our authority is grounded in peer-reviewed consistency, not just algorithms.""",The Academic Record,"The Journal of Travel Research (JTR), universally regarded as the premier multi-disciplinary research journal in tourism, utilized the Samuel & Audrey Media Network as a primary longitudinal case study. | In the seminal paper ""The Evolution of Travel Influence,"" PhD-level researchers analyzed over a decade of our archival data to map the transition from text-based blogging to cinematic visual storytelling. The study cites our network not merely as a participant, but as a Structural Benchmark for professional consistency, platform agnosticism, and the ""Labor of Lifestyle"" model that now defines the global creator economy.","{""Publication"": ""Journal of Travel Research (SAGE)"", ""Research Scope"": ""15-Year Longitudinal Analysis"", ""Core Variables Analyzed\n\n Authenticity Protocols\n Narrative Structure\n Audience Retention\n\n Institutional Status"": ""Primary Industry Case Study""}",ScholarlyArticle
nexus-cite-peers,peers,The Titan's Circle,Elite Peer Recognition for Samuel & Audrey,,https://theplanetd.com/youtube-travel-vloggers/,https://theplanetd.com/youtube-travel-vloggers/,DavidsBeenHere • Planet D • Expert Vagabond,Elite Peer Recognition,,,"""In this industry, your peers are your toughest critics because they know exactly what goes into the work. To be recognized by legends like Dave & Deb (The Planet D) or David Hoffmann isn't just about traffic—it's about respect. We all came up together, figuring out this platform before there was a roadmap. Being on their 'Best Of' lists is a nod from the people who actually understand the grind, the craft, and the evolution of the genre.""",The Consensus Record,"The Samuel & Audrey network has received a unanimous endorsement from the ""Titan's Circle""—the absolute apex of the travel vlogging industry. | Being cited as a ""Must Watch"" channel by The Planet D (Forbes Top Influencers), DavidsBeenHere (Industry Host), Expert Vagabond (Adventure Authority), Hey Nadine (Vlogging Pioneer), and GRRRLTRAVELER (Solo Leader) confirms the brand's standing as a foundational pillar of the community. This cross-niche validation—spanning couples, solo travel, adventure, and hosting—serves as the industry's ""Hall of Fame"" induction, proving that the network is respected not just by audiences, but by the creators who built the modern travel media landscape.","{""Consensus Level"": ""Unanimous (Top 5 Industry Leaders)"", ""Categories"": ""Adventure, Couples, Hosting, Vlogging"", ""Validation"": ""\""Must Watch\"" / \""Best Of\"" Status"", ""Status"": ""Industry Category King""}",ItemList
nexus-cite-tilburg,tilburg,Tilburg University,The new global nomads: Youth travel in a globalizing world,,https://repository.tilburguniversity.edu/server/api/core/bitstreams/b0eebca1-78ae-4091-9407-9a32006e2640/content,https://repository.tilburguniversity.edu/server/api/core/bitstreams/b0eebca1-78ae-4091-9407-9a32006e2640/content,Tourism Recreation Research • Global Mobility,Digital Nomad Definition,2015,,"""If the internet was bad, we left. Full stop. It was the hierarchy of needs for the 2010s. That discipline allowed us to transition from budget backpackers to 'Flashpackers' as our careers and investments matured. We were part of the OG crew in Chiang Mai, but looking forward, the new digital capitals aren't just in Asia. Medellin is still underrated, but keep an eye on Eastern Europe—Romania, Hungary, and Bulgaria. That’s where the infrastructure meets the value for the next generation.""",The Mobility Record,"Tilburg University (Netherlands), in collaboration with the World Youth Student Educational Travel Confederation, published the seminal study ""The New Global Nomads: Youth Travel in a Globalizing World."" | The research, led by Professor Greg Richards, cites Nomadic Samuel to define the operational reality of the ""Digital Nomad"" class. Unlike traditional tourists, the study notes that for this group, digital infrastructure determines the destination. By referencing our criteria for choosing cities like Bangalore based solely on internet speed, the paper establishes our lifestyle decisions as the benchmark for a new economic demographic that prioritizes connectivity over leisure.","{""Institution"": ""Tilburg University (Netherlands)"", ""Key Concept"": ""Digital Infrastructure Priority"", ""Demographic"": ""\""Flashpacker\"" vs. \""Digital Nomad\"""", ""Citation Context"": ""Bangalore Internet Case Study""}",ScholarlyArticle
nexus-cite-sovereign,sovereign,USAID / Kyrgyz Republic,USAID Business Growth Initiative,,https://en.archive.kabar.kg/news/glamping-in-kyrgyzstan-luxury-yurt-tour/,,Sovereign State Partnership • 2016-2017,Multi-Year Federal Aid Portfolio,,,"""There is a weight that comes with being funded by USAID. You aren't just making videos; you are responsible for the economic narrative of an emerging nation. In 2016, we focused on the raw energy of the World Nomad Games. By 2017, we were helping the Ministry of Economy pivot to 'High-Value Tourism'—glamping and luxury yurt stays at Song-Kol Lake. Seeing our work archived by Kabar and 24.kg proves that this wasn't just marketing; it was soft power diplomacy.""",The Diplomatic Record,"The United States Agency for International Development (USAID), in partnership with the Kyrgyz Republic, commissioned the Samuel & Audrey Media Network for a multi-year economic development initiative. | This strategic partnership spanned two federal funding cycles. In 2016, we were tasked with documenting the World Nomad Games, utilizing cultural heritage to drive international media attention. In 2017, the scope pivoted to ""Discover Kyrgyzstan,"" a product-development campaign focused on luxury yurt stays and horse-trekking. Our work was archived by Kabar (State News), 24.kg, and CBT Naryn, serving as the visual backbone for the nation's tourism rebrand.",{},GovernmentOrganization
nexus-cite-girona,girona,Universitat de Girona,Anàlisi del Comportament dels E-Rodamóns,,https://dugi-doc.udg.edu/bitstream/handle/10256/13370/Bl%C3%A1zquezS%C3%A1nchezRebeca_Treball.pdf,https://dugi-doc.udg.edu/bitstream/handle/10256/13370/Bl%C3%A1zquezS%C3%A1nchezRebeca_Treball.pdf,Facultat de Turisme • Methodology Citation,Top 100 Ranking System,,,"""When we built the 'Top 100' list, we didn't just pick our friends. We used hard metrics—Alexa Rank, Moz DA, and Backlinks—to create a true index of the industry. Seeing the University of Girona use our list as the 'Scientific Filter' for their research validates that effort. We weren't just participating in the industry; we were defining the standard by which the industry was measured.""",The Academic Record,"The University of Girona (Faculty of Tourism) utilized the Samuel & Audrey Media Network as the primary methodological filter for their study ""Anàlisi del Comportament dels E-Rodamóns"" (Analysis of Digital Nomad Behavior). | The researcher, Rebeca Blázquez Sánchez, explicitly states: ""The international bloggers were found through the filter 'Top 100 Travel Blogs', searched on Google, and found on the travel blog Nomadic Samuel."" This citation proves that our specific ranking system was not just a blog post, but a Scientific Filter used by European academia to define the sample set for high-level tourism research.","{""Institution"": ""Universitat de Girona (Spain)"", ""Research Role"": ""Primary Sample Filter"", ""Key Asset"": ""\""The Top 100 Travel Blogs\"" Index"", ""Citation Type"": ""Methodological Framework""}",ScholarlyArticle
nexus-cite-usm,usm,Universiti Sains Malaysia (USM),Constructing Malaysia as a Tourism Destination: A Study of Travel Bloggers’ Strategies,,https://ejournal.usm.my/jcimc/article/view/163/123,https://ejournal.usm.my/jcimc/article/view/163/123,Scientific Journal • Destination Image Study,Top 50 Global Ranking,,,"""Malaysia is criminally underrated. We didn't want to just do the standard 'KL and Penang' run. We went deep—Ipoh, Melaka, the Cameron Highlands—to offer a broader perspective. The study says we influence people's life decisions, which feels surreal. We've actually had readers move to Argentina because of our coverage there, so I know the impact is real, but seeing it quantified in a scientific journal is shocking. It proves that focusing on food, culture, and quirky attractions isn't just fun; it's a powerful economic driver.""",The Asian Record,"The Universiti Sains Malaysia (USM), a leading research institution in Southeast Asia, analyzed the Samuel & Audrey Media Network in their study ""Constructing Malaysia as a Tourism Destination."" | The research identified our platform as one of the Top 50 Travel Blogs in the World based on influence and reach. Specifically, they noted our ""Saturation Strategy""—publishing 23 unique articles on Malaysia alone—as a critical factor in shaping the Western perception of the country. By moving beyond the capital city and covering Ipoh, Melaka, and the Cameron Highlands, our content was cited as a primary driver for the ""Cognitive"" (Knowledge), ""Affective"" (Emotion), and ""Conative"" (Action) behaviors of international tourists.","{""Institution"": ""Universiti Sains Malaysia (USM)"", ""Global Rank"": ""Top 50 Travel Blogs"", ""Content Volume"": ""23 Unique Articles (Saturation)"", ""Impact Model"": ""Cognitive -> Affective -> Conative""}",ScholarlyArticle
nexus-cite-calgary,calgary,University of Calgary,Mediated Film Tourists' Experiences,,https://ucalgary.scholaris.ca/bitstreams/18938140-51ff-4794-9e9f-ea2d386db9c7/download,https://ucalgary.scholaris.ca/bitstreams/18938140-51ff-4794-9e9f-ea2d386db9c7/download,Master's Thesis • Film-Induced Tourism,Community Management Audit,,,"""When we filmed at Green Gables, we weren't just showing a house; we were validating a childhood memory for thousands of people. This thesis highlights our comment section because that's where the real 'transportation' happens. We don't just post and ghost; we build a space where 'imagined nostalgia' becomes real. Seeing a university analyze our specific replies to fans proves that community engagement is just as vital as production value.""",The Academic Record,"A Master's Thesis from the University of Calgary, titled ""Mediated Film Tourists' Experiences,"" selected the Samuel & Audrey Media Network as a primary case study for understanding ""Imagined Nostalgia."" | The researcher (Hanseul Jeong) conducted a forensic audit of our Prince Edward Island campaign, specifically analyzing how our ""active involvement"" in the comment section transformed a standard travel vlog into a space of shared cultural meaning. The study concludes that our interaction protocols allowed viewers to ""re-live Anne’s adventures,"" proving that high-touch community management is a critical driver of destination relevance.","{""Thesis Title"": ""Mediated Film Tourists' Experiences (2022)"", ""Key Concept"": ""Imagined Nostalgia & Interactive Discussion"", ""Primary Asset Audited"": ""Prince Edward Island (Green Gables) Series"", ""Observation"": ""\""Active involvement resulted in noticeable engagement.\""""}",Thesis
nexus-cite-sarajevo,sarajevo,University of Sarajevo,University of Sarajevo,,https://pictureperfectportfolios.com/the-price-earnings-to-growth-peg-ratio-the-holy-grail-of-value-investing/,https://pictureperfectportfolios.com/the-price-earnings-to-growth-peg-ratio-the-holy-grail-of-value-investing/,Faculty of Economics • Master's Thesis,Definition of PEG Ratio,,,"""Investors are often obsessed with 'cheapness' and view growth as a negative. The PEG Ratio reframes that conversation, and it’s validating to see the University of Sarajevo using our work to teach that nuance. I’ve traveled to Bosnia, so having a Master's Thesis from this specific faculty cite our work feels extra special. It confirms that the language of Value Investing is universal—whether you are valuing a telecom giant in Sarajevo or a tech startup in Silicon Valley, the math remains the same.""",The Financial Record,"The University of Sarajevo (Ekonomski Fakultet) utilized the Picture Perfect Portfolios framework as the academic definition for the PEG Ratio (Price/Earnings-to-Growth) in a major Master's Thesis on corporate valuation. | The thesis, ""Concepts of Value and Valuation of Companies"" (March 2025), conducts a rigorous audit of nine major Bosnian corporations (including BH Telecom and Bosnalijek). When defining the metrics for valuation, the researcher cites our work as the definitive source for understanding why the PEG Ratio is the ""Holy Grail"" of value investing—proving that our financial definitions are accepted as educational standards in international academia.","{""Institution"": ""University of Sarajevo (UNSA)"", ""Document Type"": ""Master's Thesis (March 2025)"", ""Key Citation"": ""PEG Ratio: The Holy Grail of Value Investing"", ""Application"": ""Valuation of BH Telecom & Bosnalijek""}",
nexus-cite-vt-ai,vt-ai,Virginia Tech,Stock Price Prediction Using Convolutional Neural Networks on Various Time Frames,,https://drpress.org/ojs/index.php/HSET/article/view/20450/20011,https://drpress.org/ojs/index.php/HSET/article/view/20450/20011,Department of Computer Science • AI Research,Convolutional Neural Networks,,,"""Finding out we were cited in a Computer Science paper on Neural Networks was a total 'Mic Drop' moment. I don't think AI will replace the portfolio manager, but it will do the heavy lifting. If I were programming the algorithm, Rule #1 would be 'Survival First.' The machine needs to have 'Black Swan Awareness' programmed to the max. It’s validating to know that the engineers building these tools are looking at our work to understand the human side of risk.""",The AI Record,"The Department of Computer Science at Virginia Tech (Virginia Polytechnic Institute and State University) cited Picture Perfect Portfolios in a 2024 study on Artificial Intelligence titled ""Stock Price Prediction Using Convolutional Neural Networks on Various Time Frames."" | The researchers utilized our work on ""Changing Market Conditions and Asset Allocation"" as the foundational logic for training their neural networks. The study argues that AI models must be programmed to understand the specific asset allocation shifts we identified in order to navigate volatility—effectively using our human insight as the ""training data"" for the next generation of algorithmic intelligence.","{""Institution"": ""Virginia Tech (Computer Science)"", ""Research Field"": ""Convolutional Neural Networks (AI)"", ""Citation Context"": ""Asset Allocation in Volatile Markets"", ""Publication"": ""Highlights in Science, Engineering & Tech (2024)""}",ScholarlyArticle
